Text Inputs : Specimen label,"Short Plate 3 T1"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02622,0.14455,0.00000,-0.14455,12835,0
0.00080,-0.02622,0.14713,0.00000,-0.14713,12835,0
0.00180,-0.02622,0.14937,0.00000,-0.14937,12835,0
0.01880,-0.02622,0.12816,0.00000,-0.12816,12835,0
0.01980,-0.02622,0.12846,0.00000,-0.12846,12835,0
0.03080,-0.02622,0.10867,0.00000,-0.10867,12835,0
0.03180,-0.02622,0.10733,0.00000,-0.10733,12835,0
0.05480,-0.02622,0.06870,0.00000,-0.06870,12835,0
0.05580,-0.02622,0.06839,0.00000,-0.06839,12835,0
0.07380,-0.02622,0.05400,0.00000,-0.05400,12835,0
0.07480,-0.02622,0.05594,0.00000,-0.05594,12835,0
0.10000,-0.02622,0.11826,0.00000,-0.11826,12835,0
0.11080,-0.02622,0.12049,0.00000,-0.12049,12835,0
0.11180,-0.02622,0.11720,0.00000,-0.11720,12835,0
0.12680,-0.02622,0.09352,0.00000,-0.09352,12835,0
0.12780,-0.02622,0.09305,0.00000,-0.09305,12835,0
0.17480,-0.02622,0.05049,0.00000,-0.05049,12835,0
0.17580,-0.02622,0.05122,0.00000,-0.05122,12835,0
0.19180,-0.02622,0.06243,0.00000,-0.06243,12835,0
0.19280,-0.02622,0.06438,0.00000,-0.06438,12835,0
0.20000,-0.02622,0.07332,0.00000,-0.07332,12835,0
0.20380,-0.02622,0.07795,0.00000,-0.07795,12835,0
0.20480,-0.02622,0.07928,0.00000,-0.07928,12835,0
0.21080,-0.02622,0.07492,0.00000,-0.07492,12835,0
0.21180,-0.02622,0.07491,0.00000,-0.07491,12835,0
0.26480,-0.02622,0.06689,0.00000,-0.06689,12835,0
0.26580,-0.02622,0.07053,0.00000,-0.07053,12835,0
0.27680,-0.02622,0.07424,0.00000,-0.07424,12835,0
0.27780,-0.02622,0.07466,0.00000,-0.07466,12835,0
0.28880,-0.02622,0.05588,0.00000,-0.05588,12835,0
0.28980,-0.02622,0.05620,0.00000,-0.05620,12835,0
0.30000,-0.02622,0.05814,0.00000,-0.05814,12835,0
0.30080,-0.02622,0.05843,0.00000,-0.05843,12835,0
0.30180,-0.02622,0.05923,0.00000,-0.05923,12835,0
0.31280,-0.02622,0.06599,0.00000,-0.06599,12835,0
0.31380,-0.02622,0.06692,0.00000,-0.06692,12835,0
0.32980,-0.02622,0.08519,0.00000,-0.08519,12835,0
0.33080,-0.02622,0.08795,0.00000,-0.08795,12835,0
0.35380,-0.02622,0.07570,0.00000,-0.07570,12835,0
0.35580,-0.02622,0.08004,0.00000,-0.08004,12835,0
0.55620,-0.02622,0.09547,0.00000,-0.09547,12835,0
0.59380,-0.02622,0.08295,0.00000,-0.08295,12835,0
0.59480,-0.02622,0.08364,0.00000,-0.08364,12835,0
0.61280,-0.02622,0.06488,0.00000,-0.06488,12835,0
0.61380,-0.02622,0.06439,0.00000,-0.06439,12835,0
0.62480,-0.02622,0.05648,0.00000,-0.05648,12835,0
0.63080,-0.02622,0.06448,0.00000,-0.06448,12835,0
0.65620,-0.02622,0.10442,0.00000,-0.10442,12835,0
0.70480,-0.02622,0.09086,0.00000,-0.09086,12835,0
0.70580,-0.02622,0.08926,0.00000,-0.08926,12835,0
0.75620,-0.02622,0.07878,0.00000,-0.07878,12835,0
0.80380,-0.02622,0.10910,0.00000,-0.10910,12835,0
0.80780,-0.02622,0.10737,0.00000,-0.10737,12835,0
0.82780,-0.02622,0.10577,0.00000,-0.10577,12835,0
0.82880,-0.02622,0.10625,0.00000,-0.10625,12835,0
0.85180,-0.02622,0.10351,0.00000,-0.10351,12835,0
0.85280,-0.02622,0.10625,0.00000,-0.10625,12835,0
0.85620,-0.02622,0.11451,0.00000,-0.11451,12835,0
0.86380,-0.02622,0.12640,0.00000,-0.12640,12835,0
0.86480,-0.02622,0.12784,0.00000,-0.12784,12835,0
0.87080,-0.02622,0.13333,0.00000,-0.13333,12835,0
0.87280,-0.02622,0.13608,0.00000,-0.13608,12835,0
0.88280,-0.02622,0.12662,0.00000,-0.12662,12835,0
0.88480,-0.02622,0.12264,0.00000,-0.12264,12835,0
0.89280,-0.02622,0.09732,0.00000,-0.09732,12835,0
0.89380,-0.02622,0.09573,0.00000,-0.09573,12835,0
0.91180,-0.02622,0.09680,0.00000,-0.09680,12835,0
0.91380,-0.02622,0.10110,0.00000,-0.10110,12835,0
0.95620,-0.02622,0.10845,0.00000,-0.10845,12835,0
1.00880,-0.02622,0.09114,0.00000,-0.09114,3220,0
1.00980,-0.02622,0.09296,0.00000,-0.09296,3220,0
1.02080,-0.02622,0.10383,0.00000,-0.10383,3220,0
1.02180,-0.02622,0.10478,0.00000,-0.10478,3220,0
1.05620,-0.02622,0.06377,0.00000,-0.06377,3220,0
