Text Inputs : Specimen label,"Long Plate 1 Test 5"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02626,-0.02170,0.00000,0.02170,12835,0
0.00180,-0.02626,-0.01585,0.00000,0.01585,12835,0
0.10000,-0.02626,-0.00780,0.00000,0.00780,12835,0
0.20000,-0.02626,-0.01262,0.00000,0.01262,12835,0
0.30000,-0.02626,-0.06287,0.00000,0.06287,12835,0
0.56820,-0.02626,-0.00579,0.00000,0.00579,12835,0
0.66820,-0.02626,0.02188,0.00000,-0.02188,12835,0
0.76820,-0.02626,-0.00769,0.00000,0.00769,12835,0
0.86820,-0.02626,0.00874,0.00000,-0.00874,12835,0
0.96820,-0.02626,-0.00320,0.00000,0.00320,12835,0
1.06820,-0.02626,-0.02203,0.00000,0.02203,3220,0
1.11180,-0.02626,-0.02125,0.00000,0.02125,3220,0
1.16820,-0.03619,-0.03760,0.00993,0.03760,3220,0
1.26820,-0.08990,-0.05006,0.06364,0.05006,3220,0
1.36820,-0.14180,-0.00933,0.11554,0.00933,3220,0
1.46820,-0.19280,0.00381,0.16654,-0.00381,3220,0
1.56820,-0.24325,-0.00070,0.21699,0.00070,3220,0
1.66820,-0.29352,-0.03032,0.26726,0.03032,3220,0
1.76820,-0.34359,0.00174,0.31733,-0.00174,3220,0
1.86820,-0.39375,-0.00562,0.36749,0.00562,3220,0
1.96820,-0.44384,-0.02130,0.41758,0.02130,3220,0
2.02580,-0.47286,-0.15647,0.44660,0.15647,3220,0
2.06820,-0.49386,-0.51085,0.46760,0.51085,3220,0
2.08380,-0.50186,-0.67050,0.47560,0.67050,3220,0
2.14080,-0.53035,-1.22759,0.50409,1.22759,3220,0
2.16820,-0.54386,-1.49528,0.51760,1.49528,3220,0
2.17680,-0.54837,-1.58270,0.52211,1.58270,3220,0
2.23280,-0.57631,-2.12326,0.55005,2.12326,3220,0
2.26820,-0.59382,-2.53586,0.56756,2.53586,3220,0
2.28780,-0.60382,-2.72728,0.57756,2.72728,3220,0
2.33180,-0.62582,-3.13790,0.59956,3.13790,3220,0
2.36820,-0.64390,-3.50134,0.61764,3.50134,3220,0
2.39780,-0.65891,-3.70789,0.63265,3.70789,3220,0
2.44480,-0.68237,-4.12296,0.65610,4.12296,3220,0
2.46820,-0.69383,-4.33770,0.66757,4.33770,3220,0
2.51080,-0.71530,-4.68098,0.68903,4.68098,3220,0
