Text Inputs : Specimen label,""

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02624,0.02746,0.00000,-0.02746,12835,0
0.00180,-0.02624,0.02606,0.00000,-0.02606,12835,0
0.00280,-0.02624,0.02399,0.00000,-0.02399,12835,0
0.01180,-0.02624,-0.00824,0.00000,0.00824,12835,0
0.01980,-0.02624,-0.01617,0.00000,0.01617,12835,0
0.08280,-0.02624,0.03008,0.00000,-0.03008,12835,0
0.09980,-0.02624,0.02961,0.00000,-0.02961,12835,0
0.10000,-0.02624,0.02961,0.00000,-0.02961,12835,0
0.11280,-0.02624,-0.00409,0.00000,0.00409,12835,0
0.11580,-0.02624,-0.00826,0.00000,0.00826,12835,0
0.14280,-0.02624,-0.02966,0.00000,0.02966,12835,0
0.17080,-0.02624,0.02081,0.00000,-0.02081,12835,0
0.17380,-0.02624,0.02135,0.00000,-0.02135,12835,0
0.20000,-0.02624,0.04289,0.00000,-0.04289,12835,0
0.20080,-0.02624,0.04075,0.00000,-0.04075,12835,0
0.28580,-0.02624,-0.01152,0.00000,0.01152,12835,0
0.30000,-0.02624,0.00105,0.00000,-0.00105,12835,0
0.32680,-0.02624,0.02710,0.00000,-0.02710,12835,0
0.33480,-0.02624,0.01241,0.00000,-0.01241,12835,0
0.35080,-0.02624,-0.00360,0.00000,0.00360,12835,0
0.59120,-0.02624,0.02426,0.00000,-0.02426,12835,0
0.63480,-0.02624,0.00670,0.00000,-0.00670,12835,0
0.69120,-0.02624,0.02228,0.00000,-0.02228,12835,0
0.69780,-0.02624,0.00685,0.00000,-0.00685,12835,0
0.71880,-0.02624,-0.02967,0.00000,0.02967,12835,0
0.73980,-0.02624,-0.01633,0.00000,0.01633,12835,0
0.77880,-0.02624,-0.00685,0.00000,0.00685,12835,0
0.79120,-0.02624,0.00226,0.00000,-0.00226,12835,0
0.81280,-0.02624,0.03376,0.00000,-0.03376,12835,0
0.87480,-0.02624,-0.03001,0.00000,0.03001,12835,0
0.89120,-0.02624,-0.00238,0.00000,0.00238,12835,0
0.90280,-0.02624,0.01482,0.00000,-0.01482,12835,0
