Text Inputs : Specimen label,"Short Plate 1 Video"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02606,0.05628,0.00000,-0.05628,12835,0
0.00180,-0.02606,0.05042,0.00000,-0.05042,12835,0
0.01080,-0.02606,0.01260,0.00000,-0.01260,12835,0
0.10000,-0.02606,0.01695,0.00000,-0.01695,12835,0
0.13080,-0.02606,0.05697,0.00000,-0.05697,12835,0
0.14480,-0.02606,0.03563,0.00000,-0.03563,12835,0
0.16080,-0.02606,0.01062,0.00000,-0.01062,12835,0
0.18880,-0.02606,-0.00883,0.00000,0.00883,12835,0
0.20000,-0.02606,0.00910,0.00000,-0.00910,12835,0
0.20780,-0.02606,0.02326,0.00000,-0.02326,12835,0
0.22280,-0.02606,0.02076,0.00000,-0.02076,12835,0
0.27380,-0.02606,0.05396,0.00000,-0.05396,12835,0
0.28780,-0.02606,0.04753,0.00000,-0.04753,12835,0
0.30000,-0.02606,0.04487,0.00000,-0.04487,12835,0
0.33980,-0.02606,0.00479,0.00000,-0.00479,12835,0
0.36280,-0.02606,-0.01452,0.00000,0.01452,12835,0
0.56920,-0.02606,0.06338,0.00000,-0.06338,12835,0
0.57780,-0.02606,0.04400,0.00000,-0.04400,12835,0
0.58580,-0.02606,0.03120,0.00000,-0.03120,12835,0
0.59480,-0.02606,0.01322,0.00000,-0.01322,12835,0
0.61580,-0.02606,0.01263,0.00000,-0.01263,12835,0
0.63080,-0.02606,0.00160,0.00000,-0.00160,12835,0
0.66920,-0.02606,0.04025,0.00000,-0.04025,12835,0
0.66980,-0.02606,0.04032,0.00000,-0.04032,12835,0
0.67280,-0.02606,0.04083,0.00000,-0.04083,12835,0
0.70680,-0.02606,0.09742,0.00000,-0.09742,12835,0
0.71480,-0.02606,0.08492,0.00000,-0.08492,12835,0
0.75380,-0.02606,0.01378,0.00000,-0.01378,12835,0
0.76780,-0.02606,0.00870,0.00000,-0.00870,12835,0
0.76920,-0.02606,0.01037,0.00000,-0.01037,12835,0
0.78380,-0.02606,0.01124,0.00000,-0.01124,12835,0
0.78780,-0.02606,0.01008,0.00000,-0.01008,12835,0
0.81280,-0.02606,-0.00011,0.00000,0.00011,12835,0
0.82880,-0.02606,-0.02967,0.00000,0.02967,12835,0
0.86920,-0.02606,0.01621,0.00000,-0.01621,12835,0
0.91680,-0.02606,0.03639,0.00000,-0.03639,12835,0
0.92280,-0.02606,0.03212,0.00000,-0.03212,12835,0
0.96380,-0.02606,0.05425,0.00000,-0.05425,12835,0
0.96920,-0.02606,0.04248,0.00000,-0.04248,12835,0
0.99680,-0.02606,-0.03646,0.00000,0.03646,12835,0
1.01280,-0.02606,-0.03150,0.00000,0.03150,12835,0
1.02680,-0.02606,-0.03937,0.00000,0.03937,12835,0
1.03580,-0.02606,-0.02857,0.00000,0.02857,12835,0
1.04680,-0.02606,-0.03746,0.00000,0.03746,12835,0
1.06920,-0.02606,-0.01984,0.00000,0.01984,12835,0
1.07280,-0.02606,-0.01581,0.00000,0.01581,12835,0
1.07680,-0.02606,-0.00959,0.00000,0.00959,12835,0
1.10780,-0.02606,0.02838,0.00000,-0.02838,12835,0
1.11680,-0.02606,0.03278,0.00000,-0.03278,3220,0
1.13780,-0.02606,0.06450,0.00000,-0.06450,3220,0
1.15880,-0.02606,0.02989,0.00000,-0.02989,3220,0
1.16920,-0.02606,0.01782,0.00000,-0.01782,3220,0
1.17280,-0.02606,0.02784,0.00000,-0.02784,3220,0
1.17980,-0.02606,0.04550,0.00000,-0.04550,3220,0
1.18880,-0.02616,0.04380,0.00010,-0.04380,3220,0
1.22880,-0.03595,-0.00324,0.00989,0.00324,3220,0
1.23780,-0.04038,-0.00620,0.01432,0.00620,3220,0
1.25280,-0.04849,0.00255,0.02243,-0.00255,3220,0
1.25480,-0.04960,0.00243,0.02354,-0.00243,3220,0
1.26280,-0.05406,-0.00091,0.02800,0.00091,3220,0
1.26680,-0.05629,-0.00629,0.03023,0.00629,3220,0
1.26920,-0.05741,-0.00556,0.03135,0.00556,3220,0
1.28780,-0.06789,-0.00267,0.04183,0.00267,3220,0
1.30580,-0.07757,0.00236,0.05151,-0.00236,3220,0
1.36920,-0.11058,0.01820,0.08452,-0.01820,3220,0
1.39680,-0.12511,0.01490,0.09905,-0.01490,3220,0
1.40280,-0.12821,0.01546,0.10215,-0.01546,3220,0
1.40880,-0.13130,0.02253,0.10524,-0.02253,3220,0
1.42780,-0.14107,-0.00190,0.11501,0.00190,3220,0
1.43880,-0.14671,0.00336,0.12065,-0.00336,3220,0
1.44680,-0.15079,-0.00532,0.12473,0.00532,3220,0
1.46920,-0.16204,0.02613,0.13598,-0.02613,3220,0
1.55280,-0.20490,0.02596,0.17884,-0.02596,3220,0
1.56680,-0.21200,-0.00884,0.18594,0.00884,3220,0
1.56920,-0.21302,-0.00945,0.18695,0.00945,3220,0
1.61280,-0.23513,0.02498,0.20907,-0.02498,3220,0
1.64080,-0.24918,-0.01073,0.22312,0.01073,3220,0
1.66920,-0.26323,0.03226,0.23716,-0.03226,3220,0
1.74280,-0.30034,0.01644,0.27428,-0.01644,3220,0
1.75880,-0.30838,-0.03158,0.28232,0.03158,3220,0
1.76880,-0.31341,-0.03326,0.28735,0.03326,3220,0
1.76920,-0.31341,-0.03326,0.28735,0.03326,3220,0
1.80880,-0.33348,-0.06101,0.30742,0.06101,3220,0
1.86280,-0.36046,0.01059,0.33440,-0.01059,3220,0
1.86920,-0.36345,-0.00089,0.33739,0.00089,3220,0
1.87880,-0.36844,-0.01389,0.34238,0.01389,3220,0
1.88780,-0.37294,-0.00235,0.34688,0.00235,3220,0
1.89080,-0.37445,0.00138,0.34839,-0.00138,3220,0
1.90680,-0.38246,0.02929,0.35640,-0.02929,3220,0
1.93180,-0.39496,0.03481,0.36890,-0.03481,3220,0
1.94280,-0.40046,0.02636,0.37440,-0.02636,3220,0
1.96920,-0.41351,0.00121,0.38745,-0.00121,3220,0
1.97280,-0.41553,-0.00368,0.38947,0.00368,3220,0
1.97880,-0.41855,0.00044,0.39249,-0.00044,3220,0
1.99980,-0.42913,-0.01791,0.40307,0.01791,3220,0
2.00880,-0.43365,-0.01850,0.40759,0.01850,3220,0
2.01680,-0.43766,-0.02018,0.41160,0.02018,3220,0
2.06920,-0.46371,0.01624,0.43765,-0.01624,3220,0
2.15180,-0.50515,0.04765,0.47909,-0.04765,3220,0
2.15480,-0.50665,0.04372,0.48059,-0.04372,3220,0
2.16920,-0.51366,0.04610,0.48760,-0.04610,3220,0
2.20580,-0.53220,0.03327,0.50614,-0.03327,3220,0
2.22080,-0.53971,0.01761,0.51365,-0.01761,3220,0
2.24880,-0.55373,0.02794,0.52767,-0.02794,3220,0
2.25680,-0.55774,0.01966,0.53168,-0.01966,3220,0
2.26080,-0.55974,0.01859,0.53368,-0.01859,3220,0
2.26920,-0.56375,0.00442,0.53769,-0.00442,3220,0
2.27480,-0.56675,-0.00178,0.54069,0.00178,3220,0
2.29480,-0.57676,-0.01782,0.55070,0.01782,3220,0
2.32280,-0.59077,-0.04015,0.56471,0.04015,3220,0
2.32680,-0.59277,-0.03015,0.56671,0.03015,3220,0
2.33280,-0.59576,-0.01574,0.56970,0.01574,3220,0
2.36920,-0.61367,0.00739,0.58761,-0.00739,3220,0
2.38580,-0.62213,0.01007,0.59606,-0.01007,3220,0
2.40880,-0.63362,-0.02013,0.60756,0.02013,3220,0
2.44580,-0.65208,0.02396,0.62602,-0.02396,3220,0
2.46920,-0.66358,0.00279,0.63752,-0.00279,3220,0
2.47280,-0.66559,0.00449,0.63953,-0.00449,3220,0
2.48180,-0.67009,0.01565,0.64402,-0.01565,3220,0
2.48980,-0.67409,0.01398,0.64803,-0.01398,3220,0
2.49380,-0.67610,0.01418,0.65004,-0.01418,3220,0
2.49680,-0.67761,0.01256,0.65155,-0.01256,3220,0
2.50580,-0.68213,0.01382,0.65607,-0.01382,3220,0
2.50880,-0.68364,0.01057,0.65757,-0.01057,3220,0
2.53580,-0.69715,0.03070,0.67109,-0.03070,3220,0
2.55080,-0.70465,0.01107,0.67859,-0.01107,3220,0
2.55480,-0.70666,0.00551,0.68060,-0.00551,3220,0
2.56280,-0.71067,-0.00899,0.68461,0.00899,3220,0
2.56920,-0.71368,-0.01362,0.68761,0.01362,3220,0
2.57280,-0.71567,-0.01421,0.68961,0.01421,3220,0
2.59080,-0.72464,-0.02407,0.69858,0.02407,3220,0
2.59680,-0.72764,-0.01164,0.70158,0.01164,3220,0
2.60480,-0.73163,-0.00498,0.70557,0.00498,3220,0
2.60880,-0.73362,-0.00273,0.70756,0.00273,3220,0
2.62880,-0.74360,-0.02544,0.71754,0.02544,3220,0
2.65580,-0.75708,-0.00213,0.73102,0.00213,3220,0
2.65880,-0.75858,-0.00109,0.73252,0.00109,3220,0
2.66920,-0.76357,0.01352,0.73751,-0.01352,3220,0
2.69280,-0.77556,0.03186,0.74950,-0.03186,3220,0
2.70580,-0.78208,0.01429,0.75602,-0.01429,3220,0
2.72780,-0.79308,0.01655,0.76702,-0.01655,3220,0
2.73080,-0.79459,0.01555,0.76853,-0.01555,3220,0
2.75780,-0.80810,0.00284,0.78203,-0.00284,3220,0
2.76920,-0.81359,-0.00065,0.78753,0.00065,3220,0
2.77280,-0.81559,-0.00457,0.78953,0.00457,3220,0
2.81280,-0.83557,0.01856,0.80950,-0.01856,3220,0
2.82080,-0.83957,0.00744,0.81351,-0.00744,3220,0
2.85380,-0.85606,0.02901,0.83000,-0.02901,3220,0
