Text Inputs : Specimen label,"Long Plate 1 Video"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02664,0.01806,0.00000,-0.01806,12835,0
0.00180,-0.02664,0.01809,0.00000,-0.01809,12835,0
0.10000,-0.02664,0.00631,0.00000,-0.00631,12835,0
0.20000,-0.02664,0.04018,0.00000,-0.04018,12835,0
0.30000,-0.02664,0.05607,0.00000,-0.05607,12835,0
0.40000,-0.02664,0.02724,0.00000,-0.02724,12835,0
0.60620,-0.02664,0.00720,0.00000,-0.00720,12835,0
0.70620,-0.02664,0.01665,0.00000,-0.01665,12835,0
0.80620,-0.02664,0.04656,0.00000,-0.04656,12835,0
0.90620,-0.02664,0.03213,0.00000,-0.03213,12835,0
1.00620,-0.02664,0.01284,0.00000,-0.01284,12835,0
1.10620,-0.02664,-0.01856,0.00000,0.01856,12835,0
1.15380,-0.02664,0.01615,0.00000,-0.01615,3220,0
1.20620,-0.03478,0.03733,0.00814,-0.03733,3220,0
1.30620,-0.08823,0.03713,0.06159,-0.03713,3220,0
1.40620,-0.14013,0.02210,0.11349,-0.02210,3220,0
1.50620,-0.19123,0.04985,0.16459,-0.04985,3220,0
1.60620,-0.24172,0.00358,0.21507,-0.00358,3220,0
1.70620,-0.29187,0.01293,0.26523,-0.01293,3220,0
1.80620,-0.34210,-0.00378,0.31546,0.00378,3220,0
1.90620,-0.39206,0.02068,0.36542,-0.02068,3220,0
2.00620,-0.44223,0.00171,0.41559,-0.00171,3220,0
2.10620,-0.49221,0.03343,0.46557,-0.03343,3220,0
2.20620,-0.54229,0.01231,0.51565,-0.01231,3220,0
2.30620,-0.59233,0.00569,0.56569,-0.00569,3220,0
2.40620,-0.64218,0.01572,0.61554,-0.01572,3220,0
2.50620,-0.69223,0.00075,0.66559,-0.00075,3220,0
2.60620,-0.74219,0.01140,0.71555,-0.01140,3220,0
2.70620,-0.79215,-0.00040,0.76551,0.00040,3220,0
2.73480,-0.80667,-0.00948,0.78002,0.00948,3220,0
2.73880,-0.80867,-0.01715,0.78203,0.01715,3220,0
2.80620,-0.84217,0.02900,0.81553,-0.02900,3220,0
2.90620,-0.89211,0.02993,0.86547,-0.02993,3220,0
3.00620,-0.94217,0.04229,0.91553,-0.04229,3220,0
3.10620,-0.99219,0.01393,0.96555,-0.01393,3220,0
3.20620,-1.04225,0.01842,1.01561,-0.01842,3220,0
3.27480,-1.07684,-0.00067,1.05019,0.00067,3220,0
3.27780,-1.07834,-0.00862,1.05170,0.00862,3220,0
3.30620,-1.09233,0.01158,1.06569,-0.01158,3220,0
3.40620,-1.14227,0.03052,1.11563,-0.03052,3220,0
3.50620,-1.19226,0.00763,1.16561,-0.00763,3220,0
3.60620,-1.24216,-0.01134,1.21552,0.01134,3220,0
3.62880,-1.25365,0.02062,1.22701,-0.02062,3220,0
3.63780,-1.25813,0.00112,1.23148,-0.00112,3220,0
3.70620,-1.29214,0.01696,1.26550,-0.01696,3220,0
3.80620,-1.34217,0.01836,1.31553,-0.01836,3220,0
3.90620,-1.39212,0.02862,1.36548,-0.02862,3220,0
4.00620,-1.44221,-0.00452,1.41556,0.00452,3220,0
4.10620,-1.49223,0.01515,1.46558,-0.01515,3220,0
4.20620,-1.54225,0.02907,1.51561,-0.02907,3220,0
4.27180,-1.57527,0.00254,1.54862,-0.00254,3220,0
4.30620,-1.59230,-0.15800,1.56566,0.15800,3220,0
4.34980,-1.61416,-0.58352,1.58752,0.58352,3220,0
4.39180,-1.63520,-1.01511,1.60856,1.01511,3220,0
4.40620,-1.64222,-1.14629,1.61558,1.14629,3220,0
4.43980,-1.65922,-1.46597,1.63257,1.46597,3220,0
4.49280,-1.68577,-2.03121,1.65913,2.03121,3220,0
4.50620,-1.69230,-2.15597,1.66565,2.15597,3220,0
