Text Inputs : Specimen label,"Short Plate 1 Test 1"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02542,0.08190,0.00000,-0.08190,12835,0
0.00180,-0.02542,0.07906,0.00000,-0.07906,12835,0
0.10000,-0.02542,0.10106,0.00000,-0.10106,12835,0
0.13880,-0.02542,0.06051,0.00000,-0.06051,12835,0
0.14180,-0.02542,0.06464,0.00000,-0.06464,12835,0
0.20000,-0.02542,0.06554,0.00000,-0.06554,12835,0
0.21780,-0.02542,0.07302,0.00000,-0.07302,12835,0
0.22580,-0.02542,0.08254,0.00000,-0.08254,12835,0
0.30000,-0.02542,0.07444,0.00000,-0.07444,12835,0
0.36680,-0.02542,0.05282,0.00000,-0.05282,12835,0
0.36980,-0.02542,0.05678,0.00000,-0.05678,12835,0
0.40000,-0.02542,0.06507,0.00000,-0.06507,12835,0
0.61120,-0.02542,0.09752,0.00000,-0.09752,12835,0
0.61880,-0.02542,0.10137,0.00000,-0.10137,12835,0
0.62180,-0.02542,0.10275,0.00000,-0.10275,12835,0
0.66180,-0.02542,0.08256,0.00000,-0.08256,12835,0
0.66580,-0.02542,0.08804,0.00000,-0.08804,12835,0
0.71120,-0.02542,0.09520,0.00000,-0.09520,12835,0
0.76880,-0.02542,0.05713,0.00000,-0.05713,12835,0
0.76980,-0.02542,0.05819,0.00000,-0.05819,12835,0
0.79880,-0.02542,0.05137,0.00000,-0.05137,12835,0
0.80380,-0.02542,0.06218,0.00000,-0.06218,12835,0
0.81120,-0.02542,0.06882,0.00000,-0.06882,12835,0
0.91120,-0.02542,0.08907,0.00000,-0.08907,12835,0
1.00380,-0.02542,0.09204,0.00000,-0.09204,3220,0
1.01120,-0.02542,0.09401,0.00000,-0.09401,3220,0
1.01180,-0.02542,0.09456,0.00000,-0.09456,3220,0
1.07780,-0.02542,0.04548,0.00000,-0.04548,3220,0
1.08680,-0.02543,0.04021,0.00000,-0.04021,3220,0
1.08980,-0.02544,0.04397,0.00002,-0.04397,3220,0
1.11120,-0.02724,0.03797,0.00182,-0.03797,3220,0
1.21120,-0.07663,0.06856,0.05121,-0.06856,3220,0
1.22480,-0.08407,0.06085,0.05865,-0.06085,3220,0
1.22780,-0.08566,0.06453,0.06024,-0.06453,3220,0
1.29080,-0.11871,0.02762,0.09329,-0.02762,3220,0
1.30580,-0.12650,0.07310,0.10108,-0.07310,3220,0
1.31120,-0.12908,0.07761,0.10366,-0.07761,3220,0
1.41120,-0.18036,0.02705,0.15494,-0.02705,3220,0
1.47680,-0.21379,0.01663,0.18837,-0.01663,3220,0
1.47980,-0.21530,0.02523,0.18988,-0.02523,3220,0
1.51120,-0.23093,0.03805,0.20551,-0.03805,3220,0
1.61120,-0.28117,0.04552,0.25575,-0.04552,3220,0
1.63280,-0.29217,0.05093,0.26675,-0.05093,3220,0
1.64080,-0.29618,0.06033,0.27075,-0.06033,3220,0
1.71120,-0.33134,0.03911,0.30592,-0.03911,3220,0
1.80680,-0.37951,0.07887,0.35409,-0.07887,3220,0
