Text Inputs : Specimen label,"Short plate 2 T1"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02686,0.06051,0.00000,-0.06051,12835,0
0.00080,-0.02686,0.05785,0.00000,-0.05785,12835,0
0.00180,-0.02686,0.05486,0.00000,-0.05486,12835,0
0.01580,-0.02686,0.02838,0.00000,-0.02838,12835,0
0.01680,-0.02686,0.02913,0.00000,-0.02913,12835,0
0.01980,-0.02686,0.02723,0.00000,-0.02723,12835,0
0.02180,-0.02686,0.02386,0.00000,-0.02386,12835,0
0.02580,-0.02686,0.01586,0.00000,-0.01586,12835,0
0.02680,-0.02686,0.01305,0.00000,-0.01305,12835,0
0.02880,-0.02686,0.00734,0.00000,-0.00734,12835,0
0.02980,-0.02686,0.00397,0.00000,-0.00397,12835,0
0.03680,-0.02686,-0.01672,0.00000,0.01672,12835,0
0.03780,-0.02686,-0.01834,0.00000,0.01834,12835,0
0.04780,-0.02686,-0.02078,0.00000,0.02078,12835,0
0.04880,-0.02686,-0.02081,0.00000,0.02081,12835,0
0.05080,-0.02686,-0.02129,0.00000,0.02129,12835,0
0.05180,-0.02686,-0.02167,0.00000,0.02167,12835,0
0.06180,-0.02686,-0.01858,0.00000,0.01858,12835,0
0.06280,-0.02686,-0.01799,0.00000,0.01799,12835,0
0.08780,-0.02686,0.00391,0.00000,-0.00391,12835,0
0.08880,-0.02686,0.00661,0.00000,-0.00661,12835,0
0.09780,-0.02686,0.02022,0.00000,-0.02022,12835,0
0.09880,-0.02686,0.02063,0.00000,-0.02063,12835,0
0.10000,-0.02686,0.02147,0.00000,-0.02147,12835,0
0.10880,-0.02686,0.02412,0.00000,-0.02412,12835,0
0.10980,-0.02686,0.02433,0.00000,-0.02433,12835,0
0.11680,-0.02686,0.02431,0.00000,-0.02431,12835,0
0.11780,-0.02686,0.02349,0.00000,-0.02349,12835,0
0.12780,-0.02686,0.02903,0.00000,-0.02903,12835,0
0.12880,-0.02686,0.02931,0.00000,-0.02931,12835,0
0.13880,-0.02686,0.02765,0.00000,-0.02765,12835,0
0.14080,-0.02686,0.02707,0.00000,-0.02707,12835,0
0.15980,-0.02686,0.03932,0.00000,-0.03932,12835,0
0.16080,-0.02686,0.04006,0.00000,-0.04006,12835,0
0.16880,-0.02686,0.03780,0.00000,-0.03780,12835,0
0.17080,-0.02686,0.02904,0.00000,-0.02904,12835,0
0.17880,-0.02686,0.00447,0.00000,-0.00447,12835,0
0.17980,-0.02686,0.00364,0.00000,-0.00364,12835,0
0.18980,-0.02686,0.00127,0.00000,-0.00127,12835,0
0.19080,-0.02686,0.00234,0.00000,-0.00234,12835,0
0.19380,-0.02686,0.00462,0.00000,-0.00462,12835,0
0.19480,-0.02686,0.00479,0.00000,-0.00479,12835,0
0.20000,-0.02686,0.00183,0.00000,-0.00183,12835,0
0.21980,-0.02686,0.02846,0.00000,-0.02846,12835,0
0.22180,-0.02686,0.03901,0.00000,-0.03901,12835,0
0.23480,-0.02686,0.06704,0.00000,-0.06704,12835,0
0.23880,-0.02686,0.06092,0.00000,-0.06092,12835,0
0.24980,-0.02686,0.04767,0.00000,-0.04767,12835,0
0.25180,-0.02686,0.05079,0.00000,-0.05079,12835,0
0.25380,-0.02686,0.05215,0.00000,-0.05215,12835,0
0.25580,-0.02686,0.05115,0.00000,-0.05115,12835,0
0.25680,-0.02686,0.05007,0.00000,-0.05007,12835,0
0.25780,-0.02686,0.04888,0.00000,-0.04888,12835,0
0.25980,-0.02686,0.04586,0.00000,-0.04586,12835,0
0.26080,-0.02686,0.04389,0.00000,-0.04389,12835,0
0.27580,-0.02686,0.02458,0.00000,-0.02458,12835,0
0.27680,-0.02686,0.02404,0.00000,-0.02404,12835,0
0.28980,-0.02686,0.02591,0.00000,-0.02591,12835,0
0.29080,-0.02686,0.02593,0.00000,-0.02593,12835,0
0.29480,-0.02686,0.02380,0.00000,-0.02380,12835,0
0.29680,-0.02686,0.01962,0.00000,-0.01962,12835,0
0.30000,-0.02686,0.01350,0.00000,-0.01350,12835,0
0.30080,-0.02686,0.01160,0.00000,-0.01160,12835,0
0.30480,-0.02686,0.00295,0.00000,-0.00295,12835,0
0.31680,-0.02686,0.01759,0.00000,-0.01759,12835,0
0.31780,-0.02686,0.01849,0.00000,-0.01849,12835,0
0.31980,-0.02686,0.01775,0.00000,-0.01775,12835,0
0.32380,-0.02686,0.00911,0.00000,-0.00911,12835,0
0.32780,-0.02686,0.00083,0.00000,-0.00083,12835,0
0.32880,-0.02686,-0.00085,0.00000,0.00085,12835,0
0.33080,-0.02686,-0.00306,0.00000,0.00306,12835,0
0.33180,-0.02686,-0.00454,0.00000,0.00454,12835,0
0.34380,-0.02686,-0.01012,0.00000,0.01012,12835,0
0.34480,-0.02686,-0.01072,0.00000,0.01072,12835,0
0.34980,-0.02686,-0.01515,0.00000,0.01515,12835,0
0.35080,-0.02686,-0.01747,0.00000,0.01747,12835,0
0.35880,-0.02686,-0.03603,0.00000,0.03603,12835,0
0.35980,-0.02686,-0.03619,0.00000,0.03619,12835,0
0.36080,-0.02686,-0.03696,0.00000,0.03696,12835,0
0.36180,-0.02686,-0.03779,0.00000,0.03779,12835,0
0.36980,-0.02686,-0.03736,0.00000,0.03736,12835,0
0.37080,-0.02686,-0.03455,0.00000,0.03455,12835,0
0.37880,-0.02686,-0.01409,0.00000,0.01409,12835,0
0.38080,-0.02686,-0.01284,0.00000,0.01284,12835,0
0.60820,-0.02686,0.06799,0.00000,-0.06799,12835,0
0.60880,-0.02686,0.06682,0.00000,-0.06682,12835,0
0.62180,-0.02686,0.05192,0.00000,-0.05192,12835,0
0.62380,-0.02686,0.05300,0.00000,-0.05300,12835,0
0.65480,-0.02686,0.06381,0.00000,-0.06381,12835,0
0.65580,-0.02686,0.06175,0.00000,-0.06175,12835,0
0.65880,-0.02686,0.05608,0.00000,-0.05608,12835,0
0.65980,-0.02686,0.05502,0.00000,-0.05502,12835,0
0.66380,-0.02686,0.04968,0.00000,-0.04968,12835,0
0.66480,-0.02686,0.04948,0.00000,-0.04948,12835,0
0.66780,-0.02686,0.04742,0.00000,-0.04742,12835,0
0.66880,-0.02686,0.04604,0.00000,-0.04604,12835,0
0.67880,-0.02686,0.02738,0.00000,-0.02738,12835,0
0.67980,-0.02686,0.02461,0.00000,-0.02461,12835,0
0.68780,-0.02686,0.02187,0.00000,-0.02187,12835,0
0.68880,-0.02686,0.02401,0.00000,-0.02401,12835,0
0.69180,-0.02686,0.02751,0.00000,-0.02751,12835,0
0.69280,-0.02686,0.02733,0.00000,-0.02733,12835,0
0.69680,-0.02686,0.02000,0.00000,-0.02000,12835,0
0.69880,-0.02686,0.01343,0.00000,-0.01343,12835,0
0.70820,-0.02686,0.01151,0.00000,-0.01151,12835,0
0.74480,-0.02686,0.02377,0.00000,-0.02377,12835,0
0.74580,-0.02686,0.02015,0.00000,-0.02015,12835,0
0.74680,-0.02686,0.01611,0.00000,-0.01611,12835,0
0.74880,-0.02686,0.00933,0.00000,-0.00933,12835,0
0.75780,-0.02686,-0.00346,0.00000,0.00346,12835,0
0.75880,-0.02686,-0.00399,0.00000,0.00399,12835,0
0.76680,-0.02686,-0.00210,0.00000,0.00210,12835,0
0.76780,-0.02686,-0.00009,0.00000,0.00009,12835,0
0.77880,-0.02686,0.03036,0.00000,-0.03036,12835,0
0.77980,-0.02686,0.03212,0.00000,-0.03212,12835,0
0.80820,-0.02686,0.05183,0.00000,-0.05183,12835,0
0.80880,-0.02686,0.05257,0.00000,-0.05257,12835,0
0.80980,-0.02686,0.05371,0.00000,-0.05371,12835,0
0.81780,-0.02686,0.06654,0.00000,-0.06654,12835,0
0.81880,-0.02686,0.06773,0.00000,-0.06773,12835,0
0.82680,-0.02686,0.06826,0.00000,-0.06826,12835,0
0.82780,-0.02686,0.06882,0.00000,-0.06882,12835,0
0.83880,-0.02686,0.06566,0.00000,-0.06566,12835,0
0.83980,-0.02686,0.06435,0.00000,-0.06435,12835,0
0.85580,-0.02686,0.05799,0.00000,-0.05799,12835,0
0.85680,-0.02686,0.06014,0.00000,-0.06014,12835,0
0.86480,-0.02686,0.07363,0.00000,-0.07363,12835,0
0.86580,-0.02686,0.07387,0.00000,-0.07387,12835,0
0.86880,-0.02686,0.07448,0.00000,-0.07448,12835,0
0.86980,-0.02686,0.07572,0.00000,-0.07572,12835,0
0.87380,-0.02686,0.08475,0.00000,-0.08475,12835,0
0.87580,-0.02686,0.09243,0.00000,-0.09243,12835,0
0.88880,-0.02686,0.09105,0.00000,-0.09105,12835,0
0.89280,-0.02686,0.07903,0.00000,-0.07903,12835,0
0.89980,-0.02686,0.07589,0.00000,-0.07589,12835,0
0.90080,-0.02686,0.07480,0.00000,-0.07480,12835,0
0.90480,-0.02686,0.06439,0.00000,-0.06439,12835,0
0.90580,-0.02686,0.06118,0.00000,-0.06118,12835,0
0.90820,-0.02686,0.05447,0.00000,-0.05447,12835,0
0.91680,-0.02686,0.03398,0.00000,-0.03398,12835,0
0.91780,-0.02686,0.03296,0.00000,-0.03296,12835,0
0.91880,-0.02686,0.03122,0.00000,-0.03122,12835,0
0.91980,-0.02686,0.02915,0.00000,-0.02915,12835,0
0.95180,-0.02686,0.03443,0.00000,-0.03443,12835,0
0.95280,-0.02686,0.03658,0.00000,-0.03658,12835,0
0.97980,-0.02686,0.04310,0.00000,-0.04310,12835,0
0.98080,-0.02686,0.04239,0.00000,-0.04239,3220,0
0.98880,-0.02686,0.03508,0.00000,-0.03508,3220,0
0.98980,-0.02686,0.03676,0.00000,-0.03676,3220,0
0.99980,-0.02686,0.04106,0.00000,-0.04106,3220,0
1.00080,-0.02686,0.04220,0.00000,-0.04220,3220,0
1.00380,-0.02686,0.04069,0.00000,-0.04069,3220,0
1.00480,-0.02686,0.03890,0.00000,-0.03890,3220,0
1.00820,-0.02686,0.03146,0.00000,-0.03146,3220,0
1.00880,-0.02686,0.02824,0.00000,-0.02824,3220,0
1.01080,-0.02686,0.02165,0.00000,-0.02165,3220,0
1.01980,-0.02686,0.01269,0.00000,-0.01269,3220,0
1.02380,-0.02686,0.00807,0.00000,-0.00807,3220,0
1.03280,-0.02686,-0.00775,0.00000,0.00775,3220,0
1.03680,-0.02686,-0.01629,0.00000,0.01629,3220,0
1.04880,-0.02686,-0.00820,0.00000,0.00820,3220,0
1.04980,-0.02686,-0.00822,0.00000,0.00822,3220,0
1.05180,-0.02686,-0.00940,0.00000,0.00940,3220,0
1.05280,-0.02686,-0.01047,0.00000,0.01047,3220,0
1.06980,-0.02686,-0.00027,0.00000,0.00027,3220,0
1.07380,-0.02686,-0.00078,0.00000,0.00078,3220,0
1.07480,-0.02686,-0.00246,0.00000,0.00246,3220,0
1.07680,-0.02686,-0.00530,0.00000,0.00530,3220,0
1.08680,-0.02686,0.01490,0.00000,-0.01490,3220,0
1.08780,-0.02686,0.01654,0.00000,-0.01654,3220,0
1.08980,-0.02686,0.01850,0.00000,-0.01850,3220,0
1.09680,-0.02687,0.01461,0.00001,-0.01461,3220,0
1.09780,-0.02688,0.01542,0.00002,-0.01542,3220,0
1.10820,-0.02720,0.03002,0.00034,-0.03002,3220,0
1.11080,-0.02745,0.03324,0.00058,-0.03324,3220,0
1.11280,-0.02766,0.03087,0.00080,-0.03087,3220,0
1.12880,-0.03119,0.02656,0.00433,-0.02656,3220,0
1.13080,-0.03186,0.02320,0.00500,-0.02320,3220,0
1.14180,-0.03633,0.00855,0.00947,-0.00855,3220,0
1.14280,-0.03679,0.00650,0.00993,-0.00650,3220,0
1.18980,-0.06210,0.06067,0.03524,-0.06067,3220,0
1.19080,-0.06265,0.06138,0.03579,-0.06138,3220,0
1.19480,-0.06485,0.06184,0.03799,-0.06184,3220,0
1.19880,-0.06704,0.05094,0.04018,-0.05094,3220,0
1.20380,-0.06976,0.04270,0.04289,-0.04270,3220,0
1.20480,-0.07030,0.04294,0.04344,-0.04294,3220,0
1.20780,-0.07191,0.04326,0.04505,-0.04326,3220,0
1.20820,-0.07191,0.04326,0.04505,-0.04326,3220,0
1.20880,-0.07245,0.04246,0.04559,-0.04246,3220,0
1.23780,-0.08780,0.04609,0.06094,-0.04609,3220,0
1.23880,-0.08833,0.04604,0.06146,-0.04604,3220,0
1.25180,-0.09512,0.05626,0.06826,-0.05626,3220,0
1.25280,-0.09565,0.05811,0.06879,-0.05811,3220,0
1.25780,-0.09826,0.06229,0.07140,-0.06229,3220,0
1.25880,-0.09878,0.06153,0.07192,-0.06153,3220,0
1.26080,-0.09983,0.05927,0.07297,-0.05927,3220,0
1.26380,-0.10139,0.05172,0.07453,-0.05172,3220,0
1.26780,-0.10348,0.04105,0.07662,-0.04105,3220,0
1.26880,-0.10400,0.03830,0.07714,-0.03830,3220,0
1.30820,-0.12422,0.02038,0.09736,-0.02038,3220,0
1.33080,-0.13610,0.02708,0.10924,-0.02708,3220,0
1.33180,-0.13661,0.02961,0.10975,-0.02961,3220,0
1.34780,-0.14484,0.04297,0.11798,-0.04297,3220,0
1.34880,-0.14536,0.04477,0.11850,-0.04477,3220,0
1.36880,-0.15567,0.05318,0.12881,-0.05318,3220,0
1.36980,-0.15618,0.05120,0.12932,-0.05120,3220,0
1.38980,-0.16646,0.04090,0.13960,-0.04090,3220,0
1.39080,-0.16697,0.04141,0.14011,-0.04141,3220,0
1.40820,-0.17566,0.04245,0.14879,-0.04245,3220,0
1.42280,-0.18330,0.03818,0.15644,-0.03818,3220,0
1.42580,-0.18483,0.02933,0.15797,-0.02933,3220,0
1.42780,-0.18585,0.02292,0.15899,-0.02292,3220,0
1.42880,-0.18636,0.01934,0.15949,-0.01934,3220,0
1.43880,-0.19144,-0.01016,0.16458,0.01016,3220,0
1.43980,-0.19195,-0.01044,0.16509,0.01044,3220,0
1.44680,-0.19551,-0.00825,0.16865,0.00825,3220,0
1.44880,-0.19652,-0.00943,0.16966,0.00943,3220,0
1.45580,-0.20008,-0.01001,0.17322,0.01001,3220,0
1.45680,-0.20059,-0.00783,0.17373,0.00783,3220,0
1.48880,-0.21678,0.00274,0.18991,-0.00274,3220,0
1.48980,-0.21728,0.00202,0.19042,-0.00202,3220,0
1.50820,-0.22635,-0.00126,0.19949,0.00126,3220,0
1.51980,-0.23240,0.00145,0.20554,-0.00145,3220,0
1.52080,-0.23291,0.00018,0.20605,-0.00018,3220,0
1.54880,-0.24702,0.01532,0.22016,-0.01532,3220,0
1.55280,-0.24904,0.00501,0.22218,-0.00501,3220,0
1.55880,-0.25206,-0.00747,0.22520,0.00747,3220,0
1.55980,-0.25256,-0.01072,0.22570,0.01072,3220,0
1.57680,-0.26111,-0.01555,0.23425,0.01555,3220,0
1.57780,-0.26161,-0.01208,0.23475,0.01208,3220,0
1.60820,-0.27674,0.03078,0.24988,-0.03078,3220,0
1.60980,-0.27775,0.03142,0.25089,-0.03142,3220,0
1.61080,-0.27826,0.03122,0.25140,-0.03122,3220,0
1.61480,-0.28028,0.02727,0.25342,-0.02727,3220,0
1.61580,-0.28078,0.02520,0.25392,-0.02520,3220,0
1.62680,-0.28634,0.01111,0.25947,-0.01111,3220,0
1.62780,-0.28684,0.01003,0.25998,-0.01003,3220,0
1.66880,-0.30740,0.02456,0.28053,-0.02456,3220,0
1.66980,-0.30789,0.02489,0.28103,-0.02489,3220,0
1.67580,-0.31089,0.02463,0.28403,-0.02463,3220,0
1.67980,-0.31289,0.01889,0.28603,-0.01889,3220,0
1.69680,-0.32139,0.01744,0.29453,-0.01744,3220,0
1.69780,-0.32189,0.01921,0.29503,-0.01921,3220,0
1.70820,-0.32689,0.03976,0.30003,-0.03976,3220,0
1.73880,-0.34240,0.03785,0.31554,-0.03785,3220,0
1.73980,-0.34290,0.03893,0.31604,-0.03893,3220,0
1.75980,-0.35292,0.06620,0.32605,-0.06620,3220,0
1.76080,-0.35342,0.06504,0.32656,-0.06504,3220,0
1.77680,-0.36142,0.04836,0.33456,-0.04836,3220,0
1.78080,-0.36342,0.03626,0.33656,-0.03626,3220,0
1.78880,-0.36742,0.02148,0.34056,-0.02148,3220,0
1.78980,-0.36792,0.01972,0.34106,-0.01972,3220,0
1.79880,-0.37241,0.00586,0.34555,-0.00586,3220,0
1.79980,-0.37291,0.00351,0.34605,-0.00351,3220,0
1.80820,-0.37690,-0.02414,0.35003,0.02414,3220,0
1.81280,-0.37939,-0.03873,0.35253,0.03873,3220,0
1.81680,-0.38138,-0.05701,0.35452,0.05701,3220,0
1.81780,-0.38188,-0.06175,0.35502,0.06175,3220,0
1.82880,-0.38738,-0.13396,0.36052,0.13396,3220,0
1.83080,-0.38838,-0.14619,0.36152,0.14619,3220,0
1.83380,-0.38988,-0.16454,0.36302,0.16454,3220,0
1.83480,-0.39038,-0.17023,0.36352,0.17023,3220,0
1.85680,-0.40143,-0.36311,0.37457,0.36311,3220,0
1.85780,-0.40193,-0.37238,0.37507,0.37238,3220,0
1.85980,-0.40294,-0.39035,0.37608,0.39035,3220,0
1.86080,-0.40344,-0.39968,0.37658,0.39968,3220,0
1.86180,-0.40394,-0.40938,0.37708,0.40938,3220,0
1.86780,-0.40696,-0.47195,0.38010,0.47195,3220,0
1.87380,-0.40997,-0.52826,0.38311,0.52826,3220,0
1.89480,-0.42050,-0.72686,0.39363,0.72686,3220,0
1.89880,-0.42250,-0.75108,0.39564,0.75108,3220,0
1.90820,-0.42701,-0.82070,0.40015,0.82070,3220,0
1.91580,-0.43102,-0.86933,0.40416,0.86933,3220,0
1.91680,-0.43152,-0.87516,0.40466,0.87516,3220,0
1.92080,-0.43353,-0.90188,0.40666,0.90188,3220,0
1.92480,-0.43553,-0.93373,0.40867,0.93373,3220,0
1.93080,-0.43853,-0.98143,0.41167,0.98143,3220,0
1.93680,-0.44153,-1.02936,0.41467,1.02936,3220,0
1.94580,-0.44600,-1.06473,0.41914,1.06473,3220,0
1.94680,-0.44650,-1.06836,0.41964,1.06836,3220,0
1.94780,-0.44700,-1.07209,0.42014,1.07209,3220,0
2.00820,-0.47692,-1.42114,0.45006,1.42114,3220,0
2.01180,-0.47892,-1.44247,0.45206,1.44247,3220,0
2.01280,-0.47942,-1.44871,0.45256,1.44871,3220,0
2.01880,-0.48242,-1.49278,0.45556,1.49278,3220,0
2.01980,-0.48292,-1.50100,0.45606,1.50100,3220,0
2.02180,-0.48392,-1.51781,0.45706,1.51781,3220,0
2.06980,-0.50792,-1.88524,0.48106,1.88524,3220,0
2.07380,-0.50991,-1.91760,0.48305,1.91760,3220,0
2.08680,-0.51640,-2.00272,0.48954,2.00272,3220,0
2.09780,-0.52191,-2.09345,0.49505,2.09345,3220,0
2.09880,-0.52241,-2.10120,0.49555,2.10120,3220,0
2.10480,-0.52542,-2.15078,0.49856,2.15078,3220,0
2.10580,-0.52592,-2.15790,0.49906,2.15790,3220,0
2.10820,-0.52693,-2.17247,0.50006,2.17247,3220,0
2.14680,-0.54644,-2.48326,0.51958,2.48326,3220,0
2.15280,-0.54944,-2.53939,0.52258,2.53939,3220,0
2.15680,-0.55144,-2.57726,0.52457,2.57726,3220,0
2.15780,-0.55193,-2.58635,0.52507,2.58635,3220,0
2.15880,-0.55243,-2.59541,0.52557,2.59541,3220,0
2.17680,-0.56141,-2.74739,0.53455,2.74739,3220,0
2.17780,-0.56191,-2.75344,0.53505,2.75344,3220,0
2.19680,-0.57140,-2.87387,0.54453,2.87387,3220,0
2.19780,-0.57189,-2.88180,0.54503,2.88180,3220,0
2.20820,-0.57687,-2.95747,0.55001,2.95747,3220,0
2.20880,-0.57737,-2.96411,0.55051,2.96411,3220,0
2.21680,-0.58135,-3.03086,0.55449,3.03086,3220,0
2.22080,-0.58335,-3.05945,0.55649,3.05945,3220,0
2.22380,-0.58485,-3.07924,0.55799,3.07924,3220,0
2.22780,-0.58684,-3.10398,0.55998,3.10398,3220,0
2.22880,-0.58734,-3.11044,0.56048,3.11044,3220,0
2.23280,-0.58934,-3.13564,0.56248,3.13564,3220,0
2.24280,-0.59433,-3.21065,0.56747,3.21065,3220,0
2.24380,-0.59483,-3.21705,0.56797,3.21705,3220,0
2.29680,-0.62128,-3.54838,0.59442,3.54838,3220,0
2.29780,-0.62178,-3.55526,0.59492,3.55525,3220,0
2.30580,-0.62576,-3.60924,0.59890,3.60924,3220,0
2.30820,-0.62676,-3.62128,0.59990,3.62128,3220,0
2.35880,-0.65231,-3.94526,0.62544,3.94526,3220,0
2.36680,-0.65632,-3.99686,0.62946,3.99686,3220,0
2.38880,-0.66736,-4.07605,0.64050,4.07605,3220,0
2.40820,-0.67686,-4.19844,0.65000,4.19844,3220,0
2.45280,-0.69939,-4.44830,0.67253,4.44830,3220,0
2.45880,-0.70240,-4.50410,0.67554,4.50410,3220,0
2.45980,-0.70290,-4.51338,0.67604,4.51338,3220,0
2.46080,-0.70340,-4.52233,0.67654,4.52233,3220,0
2.46680,-0.70639,-4.57370,0.67953,4.57370,3220,0
