Text Inputs : Specimen label,"Long Plate 1 T2"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02636,-0.02120,0.00000,0.02120,12835,0
0.00180,-0.02636,-0.02478,0.00000,0.02478,12835,0
0.00480,-0.02636,-0.02939,0.00000,0.02939,12835,0
0.00680,-0.02636,-0.02917,0.00000,0.02917,12835,0
0.01080,-0.02636,-0.03019,0.00000,0.03019,12835,0
0.01180,-0.02636,-0.03052,0.00000,0.03052,12835,0
0.01680,-0.02636,-0.03580,0.00000,0.03580,12835,0
0.01780,-0.02636,-0.03661,0.00000,0.03661,12835,0
0.02180,-0.02636,-0.03907,0.00000,0.03907,12835,0
0.02380,-0.02636,-0.03847,0.00000,0.03847,12835,0
0.03080,-0.02636,-0.04089,0.00000,0.04089,12835,0
0.03180,-0.02636,-0.04140,0.00000,0.04140,12835,0
0.04180,-0.02636,-0.06399,0.00000,0.06399,12835,0
0.04280,-0.02636,-0.06542,0.00000,0.06542,12835,0
0.04480,-0.02636,-0.06840,0.00000,0.06840,12835,0
0.05180,-0.02636,-0.05543,0.00000,0.05543,12835,0
0.05280,-0.02636,-0.05163,0.00000,0.05163,12835,0
0.05480,-0.02636,-0.04405,0.00000,0.04405,12835,0
0.05880,-0.02636,-0.03687,0.00000,0.03687,12835,0
0.05980,-0.02636,-0.03458,0.00000,0.03458,12835,0
0.06480,-0.02636,-0.02323,0.00000,0.02323,12835,0
0.06580,-0.02636,-0.02118,0.00000,0.02118,12835,0
0.06980,-0.02636,-0.01624,0.00000,0.01624,12835,0
0.07080,-0.02636,-0.01545,0.00000,0.01545,12835,0
0.07280,-0.02636,-0.01421,0.00000,0.01421,12835,0
0.07380,-0.02636,-0.01375,0.00000,0.01375,12835,0
0.08380,-0.02636,-0.01786,0.00000,0.01786,12835,0
0.08580,-0.02636,-0.01979,0.00000,0.01979,12835,0
0.08980,-0.02636,-0.02075,0.00000,0.02075,12835,0
0.09080,-0.02636,-0.01979,0.00000,0.01979,12835,0
0.09580,-0.02636,-0.01827,0.00000,0.01827,12835,0
0.09680,-0.02636,-0.01793,0.00000,0.01793,12835,0
0.10000,-0.02636,-0.01716,0.00000,0.01716,12835,0
0.10080,-0.02636,-0.01626,0.00000,0.01626,12835,0
0.10180,-0.02636,-0.01581,0.00000,0.01581,12835,0
0.10680,-0.02636,-0.02327,0.00000,0.02327,12835,0
0.10780,-0.02636,-0.02508,0.00000,0.02508,12835,0
0.11780,-0.02636,-0.04575,0.00000,0.04575,12835,0
0.12180,-0.02636,-0.04555,0.00000,0.04555,12835,0
0.13180,-0.02636,-0.03602,0.00000,0.03602,12835,0
0.13280,-0.02636,-0.03423,0.00000,0.03423,12835,0
0.13780,-0.02636,-0.02827,0.00000,0.02827,12835,0
0.14480,-0.02636,-0.00583,0.00000,0.00583,12835,0
0.14880,-0.02636,0.00327,0.00000,-0.00327,12835,0
0.14980,-0.02636,0.00501,0.00000,-0.00501,12835,0
0.15980,-0.02636,-0.00839,0.00000,0.00839,12835,0
0.16380,-0.02636,-0.01151,0.00000,0.01151,12835,0
0.17380,-0.02636,-0.01788,0.00000,0.01788,12835,0
0.17580,-0.02636,-0.01849,0.00000,0.01849,12835,0
0.18480,-0.02636,-0.03528,0.00000,0.03528,12835,0
0.18680,-0.02636,-0.03533,0.00000,0.03533,12835,0
0.19080,-0.02636,-0.03412,0.00000,0.03412,12835,0
0.19180,-0.02636,-0.03386,0.00000,0.03386,12835,0
0.20000,-0.02636,-0.04393,0.00000,0.04393,12835,0
0.20180,-0.02636,-0.04555,0.00000,0.04555,12835,0
0.20380,-0.02636,-0.04429,0.00000,0.04429,12835,0
0.20480,-0.02636,-0.04329,0.00000,0.04329,12835,0
0.20580,-0.02636,-0.04251,0.00000,0.04251,12835,0
0.22180,-0.02636,-0.05281,0.00000,0.05281,12835,0
0.22380,-0.02636,-0.05155,0.00000,0.05155,12835,0
0.22480,-0.02636,-0.05111,0.00000,0.05111,12835,0
0.22880,-0.02636,-0.04648,0.00000,0.04648,12835,0
0.23280,-0.02636,-0.03976,0.00000,0.03976,12835,0
0.23480,-0.02636,-0.03520,0.00000,0.03520,12835,0
0.23880,-0.02636,-0.03040,0.00000,0.03040,12835,0
0.24080,-0.02636,-0.02837,0.00000,0.02837,12835,0
0.24480,-0.02636,-0.02751,0.00000,0.02751,12835,0
0.24580,-0.02636,-0.02785,0.00000,0.02785,12835,0
0.25280,-0.02636,-0.03467,0.00000,0.03467,12835,0
0.25480,-0.02636,-0.03430,0.00000,0.03430,12835,0
0.25580,-0.02636,-0.03385,0.00000,0.03385,12835,0
0.25780,-0.02636,-0.03145,0.00000,0.03145,12835,0
0.26480,-0.02636,-0.03067,0.00000,0.03067,12835,0
0.26580,-0.02636,-0.03025,0.00000,0.03025,12835,0
0.26980,-0.02636,-0.02827,0.00000,0.02827,12835,0
0.27180,-0.02636,-0.02636,0.00000,0.02636,12835,0
0.27880,-0.02636,-0.02269,0.00000,0.02269,12835,0
0.28380,-0.02636,-0.01208,0.00000,0.01208,12835,0
0.28480,-0.02636,-0.00898,0.00000,0.00898,12835,0
0.28880,-0.02636,0.00258,0.00000,-0.00258,12835,0
0.29080,-0.02636,0.00866,0.00000,-0.00866,12835,0
0.29180,-0.02636,0.01152,0.00000,-0.01152,12835,0
0.29380,-0.02636,0.01777,0.00000,-0.01777,12835,0
0.29480,-0.02636,0.02037,0.00000,-0.02037,12835,0
0.29880,-0.02636,0.02520,0.00000,-0.02520,12835,0
0.30000,-0.02636,0.02621,0.00000,-0.02621,12835,0
0.30080,-0.02636,0.02643,0.00000,-0.02643,12835,0
0.30180,-0.02636,0.02656,0.00000,-0.02656,12835,0
0.30380,-0.02636,0.02591,0.00000,-0.02591,12835,0
0.30480,-0.02636,0.02541,0.00000,-0.02541,12835,0
0.30680,-0.02636,0.02414,0.00000,-0.02414,12835,0
0.31080,-0.02636,0.01468,0.00000,-0.01468,12835,0
0.31180,-0.02636,0.01204,0.00000,-0.01204,12835,0
0.31380,-0.02636,0.00590,0.00000,-0.00590,12835,0
0.31480,-0.02636,0.00299,0.00000,-0.00299,12835,0
0.31680,-0.02636,-0.00271,0.00000,0.00271,12835,0
0.31780,-0.02636,-0.00525,0.00000,0.00525,12835,0
0.32380,-0.02636,-0.02542,0.00000,0.02542,12835,0
0.32480,-0.02636,-0.03027,0.00000,0.03027,12835,0
0.33080,-0.02636,-0.05712,0.00000,0.05712,12835,0
0.33280,-0.02636,-0.06367,0.00000,0.06367,12835,0
0.33380,-0.02636,-0.06674,0.00000,0.06674,12835,0
0.33580,-0.02636,-0.07194,0.00000,0.07194,12835,0
0.33680,-0.02636,-0.07405,0.00000,0.07405,12835,0
0.33780,-0.02636,-0.07593,0.00000,0.07593,12835,0
0.34580,-0.02636,-0.08853,0.00000,0.08853,12835,0
0.34980,-0.02636,-0.08424,0.00000,0.08424,12835,0
0.35080,-0.02636,-0.08122,0.00000,0.08122,12835,0
0.35280,-0.02636,-0.07519,0.00000,0.07519,12835,0
0.35980,-0.02636,-0.05618,0.00000,0.05618,12835,0
0.36380,-0.02636,-0.04159,0.00000,0.04159,12835,0
0.36580,-0.02636,-0.03337,0.00000,0.03337,12835,0
0.36680,-0.02636,-0.02899,0.00000,0.02899,12835,0
0.37680,-0.02636,-0.00351,0.00000,0.00351,12835,0
0.37880,-0.02636,0.00128,0.00000,-0.00128,12835,0
0.37980,-0.02636,0.00380,0.00000,-0.00380,12835,0
0.38080,-0.02636,0.00574,0.00000,-0.00574,12835,0
0.54920,-0.02636,-0.03804,0.00000,0.03804,12835,0
0.54980,-0.02636,-0.03891,0.00000,0.03891,12835,0
0.55380,-0.02636,-0.03761,0.00000,0.03761,12835,0
0.55580,-0.02636,-0.03795,0.00000,0.03795,12835,0
0.55980,-0.02636,-0.03614,0.00000,0.03614,12835,0
0.56180,-0.02636,-0.03380,0.00000,0.03380,12835,0
0.56280,-0.02636,-0.03276,0.00000,0.03276,12835,0
0.56480,-0.02636,-0.03078,0.00000,0.03078,12835,0
0.56580,-0.02636,-0.02995,0.00000,0.02995,12835,0
0.57380,-0.02636,-0.02800,0.00000,0.02800,12835,0
0.57480,-0.02636,-0.02801,0.00000,0.02801,12835,0
0.58180,-0.02636,-0.03863,0.00000,0.03863,12835,0
0.58380,-0.02636,-0.04137,0.00000,0.04137,12835,0
0.59080,-0.02636,-0.05997,0.00000,0.05997,12835,0
0.59280,-0.02636,-0.06159,0.00000,0.06159,12835,0
0.59380,-0.02636,-0.06136,0.00000,0.06136,12835,0
0.59580,-0.02636,-0.05927,0.00000,0.05927,12835,0
0.59980,-0.02636,-0.06141,0.00000,0.06141,12835,0
0.60180,-0.02636,-0.06254,0.00000,0.06254,12835,0
0.60280,-0.02636,-0.06206,0.00000,0.06206,12835,0
0.60480,-0.02636,-0.05972,0.00000,0.05972,12835,0
0.60580,-0.02636,-0.05772,0.00000,0.05772,12835,0
0.60780,-0.02636,-0.05292,0.00000,0.05292,12835,0
0.61180,-0.02636,-0.04522,0.00000,0.04522,12835,0
0.61880,-0.02636,-0.01608,0.00000,0.01608,12835,0
0.62380,-0.02636,0.00080,0.00000,-0.00080,12835,0
0.62480,-0.02636,0.00418,0.00000,-0.00418,12835,0
0.62980,-0.02636,0.01520,0.00000,-0.01520,12835,0
0.63080,-0.02636,0.01751,0.00000,-0.01751,12835,0
0.63580,-0.02636,0.02828,0.00000,-0.02828,12835,0
0.63680,-0.02636,0.03015,0.00000,-0.03015,12835,0
0.64080,-0.02636,0.03340,0.00000,-0.03340,12835,0
0.64180,-0.02636,0.03292,0.00000,-0.03292,12835,0
0.64280,-0.02636,0.03090,0.00000,-0.03090,12835,0
0.64380,-0.02636,0.02831,0.00000,-0.02831,12835,0
0.64680,-0.02636,0.01852,0.00000,-0.01852,12835,0
0.64880,-0.02636,0.01219,0.00000,-0.01219,12835,0
0.64920,-0.02636,0.01219,0.00000,-0.01219,12835,0
0.64980,-0.02636,0.00912,0.00000,-0.00912,12835,0
0.65080,-0.02636,0.00590,0.00000,-0.00590,12835,0
0.65280,-0.02636,-0.00064,0.00000,0.00064,12835,0
0.65480,-0.02636,-0.00676,0.00000,0.00676,12835,0
0.65580,-0.02636,-0.00978,0.00000,0.00978,12835,0
0.65980,-0.02636,-0.01688,0.00000,0.01688,12835,0
0.66180,-0.02636,-0.01881,0.00000,0.01881,12835,0
0.66280,-0.02636,-0.01990,0.00000,0.01990,12835,0
0.66480,-0.02636,-0.02264,0.00000,0.02264,12835,0
0.66580,-0.02636,-0.02379,0.00000,0.02379,12835,0
0.67080,-0.02636,-0.03142,0.00000,0.03142,12835,0
0.67180,-0.02636,-0.03204,0.00000,0.03204,12835,0
0.67380,-0.02636,-0.03241,0.00000,0.03241,12835,0
0.67480,-0.02636,-0.03196,0.00000,0.03196,12835,0
0.67680,-0.02636,-0.03051,0.00000,0.03051,12835,0
0.67780,-0.02636,-0.02954,0.00000,0.02954,12835,0
0.68280,-0.02636,-0.02943,0.00000,0.02943,12835,0
0.68380,-0.02636,-0.02970,0.00000,0.02970,12835,0
0.68580,-0.02636,-0.02974,0.00000,0.02974,12835,0
0.68680,-0.02636,-0.02922,0.00000,0.02922,12835,0
0.68880,-0.02636,-0.02759,0.00000,0.02759,12835,0
0.68980,-0.02636,-0.02653,0.00000,0.02653,12835,0
0.69280,-0.02636,-0.02466,0.00000,0.02466,12835,0
0.69380,-0.02636,-0.02586,0.00000,0.02586,12835,0
0.71180,-0.02636,-0.06789,0.00000,0.06789,12835,0
0.71380,-0.02636,-0.06774,0.00000,0.06774,12835,0
0.71480,-0.02636,-0.06688,0.00000,0.06688,12835,0
0.71680,-0.02636,-0.06302,0.00000,0.06302,12835,0
0.72380,-0.02636,-0.05543,0.00000,0.05543,12835,0
0.72580,-0.02636,-0.05587,0.00000,0.05587,12835,0
0.73580,-0.02636,-0.07514,0.00000,0.07514,12835,0
