Text Inputs : Specimen label,"Long Plate 1 T2.2"

Time,Extension,Load,Compressive extension,Compressive load,Segment ID,Total Cycle Count
(sec),(mm),(N),(mm),(N),,
0.00000,-0.02566,-0.01440,0.00000,0.01440,12835,0
0.00180,-0.02566,-0.01324,0.00000,0.01324,12835,0
0.02580,-0.02566,-0.01508,0.00000,0.01508,12835,0
0.02680,-0.02566,-0.01296,0.00000,0.01296,12835,0
0.03580,-0.02566,-0.00793,0.00000,0.00793,12835,0
0.04080,-0.02566,0.00459,0.00000,-0.00459,12835,0
0.10000,-0.02566,-0.01117,0.00000,0.01117,12835,0
0.11580,-0.02566,0.00736,0.00000,-0.00736,12835,0
0.11880,-0.02566,0.01794,0.00000,-0.01794,12835,0
0.20000,-0.02566,-0.02614,0.00000,0.02614,12835,0
0.30000,-0.02566,-0.06205,0.00000,0.06205,12835,0
0.53920,-0.02566,0.07295,0.00000,-0.07295,12835,0
0.58880,-0.02566,-0.04290,0.00000,0.04290,12835,0
0.59180,-0.02566,-0.04363,0.00000,0.04363,12835,0
0.63920,-0.02566,-0.08252,0.00000,0.08252,12835,0
0.73920,-0.02566,0.03714,0.00000,-0.03714,12835,0
0.75080,-0.02566,0.01081,0.00000,-0.01081,12835,0
0.75180,-0.02566,0.01065,0.00000,-0.01065,12835,0
0.83920,-0.02566,0.06450,0.00000,-0.06450,12835,0
0.93920,-0.02566,-0.04488,0.00000,0.04488,3220,0
0.95580,-0.02566,-0.03367,0.00000,0.03367,3220,0
0.95880,-0.02566,-0.02258,0.00000,0.02258,3220,0
0.96780,-0.02566,0.01344,0.00000,-0.01344,3220,0
0.97080,-0.02566,0.02777,0.00000,-0.02777,3220,0
0.98480,-0.02566,0.05568,0.00000,-0.05568,3220,0
1.03920,-0.03416,-0.03182,0.00850,0.03182,3220,0
1.13920,-0.08793,0.00005,0.06227,-0.00005,3220,0
1.20680,-0.12358,-0.02581,0.09792,0.02581,3220,0
1.20780,-0.12410,-0.02474,0.09844,0.02474,3220,0
1.23920,-0.14008,-0.01731,0.11442,0.01731,3220,0
1.33920,-0.19127,-0.00880,0.16561,0.00880,3220,0
1.43580,-0.24030,-0.03259,0.21464,0.03259,3220,0
1.43680,-0.24080,-0.03139,0.21514,0.03139,3220,0
1.43920,-0.24181,-0.02982,0.21615,0.02982,3220,0
1.50780,-0.27646,-0.00336,0.25080,0.00336,3220,0
1.51080,-0.27797,0.00565,0.25231,-0.00565,3220,0
1.53920,-0.29201,-0.02872,0.26635,0.02872,3220,0
1.63920,-0.34202,-0.04648,0.31636,0.04648,3220,0
1.73920,-0.39209,-0.04838,0.36643,0.04838,3220,0
1.83920,-0.44213,0.00061,0.41647,-0.00061,3220,0
1.93920,-0.49225,-0.15197,0.46659,0.15197,3220,0
1.94780,-0.49677,-0.20186,0.47111,0.20186,3220,0
1.95080,-0.49827,-0.22493,0.47261,0.22493,3220,0
1.95980,-0.50278,-0.28599,0.47712,0.28599,3220,0
2.01280,-0.52932,-0.74559,0.50366,0.74559,3220,0
2.03920,-0.54229,-0.97758,0.51663,0.97758,3220,0
2.07880,-0.56227,-1.24851,0.53660,1.24851,3220,0
2.11580,-0.58079,-1.59591,0.55513,1.59591,3220,0
2.13920,-0.59228,-1.83911,0.56662,1.83911,3220,0
2.15580,-0.60075,-2.02367,0.57509,2.02367,3220,0
2.16680,-0.60624,-2.16088,0.58058,2.16088,3220,0
2.16780,-0.60674,-2.17305,0.58108,2.17305,3220,0
2.20580,-0.62576,-2.57123,0.60010,2.57123,3220,0
2.21480,-0.63026,-2.64623,0.60460,2.64623,3220,0
2.22380,-0.63474,-2.72172,0.60908,2.72172,3220,0
2.23920,-0.64223,-2.87519,0.61657,2.87519,3220,0
2.26580,-0.65570,-3.11767,0.63004,3.11767,3220,0
2.26880,-0.65720,-3.14558,0.63154,3.14558,3220,0
2.27180,-0.65871,-3.17244,0.63305,3.17244,3220,0
2.27480,-0.66021,-3.20036,0.63455,3.20036,3220,0
2.28380,-0.66472,-3.27023,0.63905,3.27023,3220,0
2.33920,-0.69221,-3.73006,0.66655,3.73006,3220,0
2.34380,-0.69472,-3.77522,0.66906,3.77522,3220,0
2.39180,-0.71868,-4.17330,0.69302,4.17330,3220,0
2.40680,-0.72619,-4.29064,0.70053,4.29064,3220,0
2.40980,-0.72769,-4.31180,0.70203,4.31180,3220,0
2.43920,-0.74227,-4.53754,0.71661,4.53754,3220,0
2.45580,-0.75081,-4.64488,0.72515,4.64488,3220,0
2.49980,-0.77278,-4.99544,0.74712,4.99544,3220,0
2.51480,-0.78030,-5.17219,0.75464,5.17219,3220,0
2.51580,-0.78080,-5.18316,0.75514,5.18316,3220,0
2.53920,-0.79232,-5.43909,0.76666,5.43909,3220,0
2.56580,-0.80577,-5.62104,0.78011,5.62104,3220,0
2.57480,-0.81026,-5.69780,0.78460,5.69780,3220,0
2.57780,-0.81176,-5.72366,0.78610,5.72366,3220,0
2.61380,-0.82973,-6.11570,0.80407,6.11570,3220,0
2.62280,-0.83421,-6.20753,0.80855,6.20753,3220,0
2.62380,-0.83471,-6.21689,0.80905,6.21689,3220,0
2.63480,-0.84019,-6.31779,0.81453,6.31779,3220,0
2.63580,-0.84070,-6.32502,0.81503,6.32502,3220,0
2.63920,-0.84220,-6.34622,0.81654,6.34622,3220,0
2.66780,-0.85671,-6.56904,0.83105,6.56904,3220,0
2.66980,-0.85772,-6.58943,0.83205,6.58943,3220,0
2.67080,-0.85822,-6.59908,0.83256,6.59908,3220,0
2.68580,-0.86586,-6.73237,0.84020,6.73237,3220,0
2.71580,-0.88695,-7.10771,0.86129,7.10771,3220,0
2.73380,-0.90428,-7.40831,0.87862,7.40831,3220,0
2.73920,-0.90942,-7.51201,0.88376,7.51201,3220,0
2.76380,-0.93572,-7.99426,0.91005,7.99426,3220,0
2.79380,-0.96694,-8.57477,0.94128,8.57477,3220,0
2.82380,-0.99770,-9.08846,0.97203,9.08846,3220,0
