path,sheet,plate_type,plate_id,rep,frame,U,V,W,phi,time,position,load,moment,angle
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,0,0,-0,0,0,792.7998,2.6998,24.4293,1.7100510000000002,2.2087216154506377
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,1,0.0244283712513,0.0443543491974,-0.0015892655245,0.00233389041387,792.9998,2.9035,28.5009,1.995063,2.3751855608073145
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,2,0.0439303295598,0.0824339730399,0.0151054573112,0.00475655837605,793.1999,3.1073,32.5724,2.2800680000000004,2.54169108511608
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,3,0.0707462749311,0.122457660735,0.00422491254063,0.007227895604,793.3999,3.2601,36.644,2.56508,2.6665013599471785
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,4,0.0924742150874,0.162165894395,0.0151121608381,0.00956272387079,793.5998,3.5148,39.6977,2.778839,2.874488853932721
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,5,0.116332088553,0.200349006624,0.0193466288703,0.0119528197462,793.7999,3.6676,44.7871,3.135097,2.9992289925446114
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,6,0.143378376961,0.239735340079,0.0236017916884,0.0143123768447,793.9996,3.9223,47.8408,3.348856,3.2070926178822723
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,7,0.166576096699,0.276834084874,0.0277051020946,0.0167702616503,794.1999,4.0751,51.9123,3.6338610000000005,3.331754276659698
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,8,0.196574859676,0.312868790967,0.0269622369004,0.0191726072558,794.3999,4.2789,55.9839,3.918873,3.4979748721616275
C:/Users/he14853/OneDrive - WA Health/Projects/Wrist Plates - Matt Lawson-Smith/data-raw/Testing Results/Data New Calcs 13.06.2024/Long Plate.xlsx,Long Plate #6_Data,long,6,1,9,0.223047497017,0.35008455742,0.0388017742052,0.0215134735973,794.5999,4.4826,59.0376,4.132631999999999,3.6640550181967524
